, ,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS_PER_POSS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
0,1,Lester Quinones,GSW,22,1,1,0,0.5,0,0,0.667,0,0,0.333,0,0,0,0,0,0.333,0.333,0,0,0,0,0,0.4,0,0,-0.333
1,2,Frank Jackson,UTA,24,1,0,1,0.6,0,0,0.333,0,0,0.111,0,0,0,0,0.111,0.111,0.222,0.111,0,0,0,0,0.433,0,0,-0.222
2,3,Duane Washington Jr.,NYK,23,31,17,14,0.5,0.292,0.112,0.306,36.7,0.048,0.133,36,0.019,0.029,66.7,0.002,0.041,0.043,0.075,0.041,0.007,0.005,0.027,0.451,0,0,-0.007
3,4,Luka Doncic,DAL,24,64,32,32,0.5,0.44,0.148,0.298,49.8,0.038,0.11,34.7,0.105,0.142,74.2,0.011,0.105,0.116,0.109,0.049,0.019,0.007,0.034,0.77,35,10,0.023
4,5,Ja Morant,MEM,23,59,38,21,0.5,0.387,0.137,0.295,46.3,0.022,0.073,30.7,0.091,0.121,75.2,0.015,0.07,0.086,0.118,0.05,0.016,0.004,0.025,0.677,20,7,0.067
5,6,Tyler Dorsey,DAL,27,3,2,1,0.5,0.529,0.235,0.294,80,0.059,0.118,50,0,0,0,0.059,0.059,0.118,0,0,0,0,0,0.671,0,0,0.118
6,7,Giannis Antetokounmpo,MIL,28,61,45,16,0.5,0.447,0.161,0.293,55,0.011,0.04,27.6,0.113,0.175,64.8,0.032,0.137,0.169,0.081,0.055,0.012,0.011,0.045,0.784,44,5,0.071
7,8,LeBron James,LAL,38,51,27,24,0.5,0.376,0.144,0.289,49.9,0.026,0.087,30.3,0.061,0.08,76.6,0.016,0.094,0.111,0.09,0.041,0.012,0.007,0.022,0.661,18,2,0.051
8,9,Joel Embiid,PHI,29,63,42,21,0.5,0.468,0.155,0.284,54.4,0.014,0.043,33.7,0.144,0.168,85.7,0.025,0.12,0.144,0.059,0.049,0.015,0.024,0.044,0.797,38,1,0.096
9,10,Donovan Mitchell,CLE,26,66,42,24,0.5,0.386,0.136,0.284,48,0.05,0.13,38.4,0.063,0.073,87,0.013,0.045,0.058,0.062,0.036,0.02,0.005,0.034,0.59,5,0,0.066
10,11,Devin Booker,PHX,26,51,32,19,0.5,0.391,0.141,0.283,49.8,0.03,0.082,35.9,0.08,0.094,85.1,0.013,0.051,0.063,0.077,0.039,0.013,0.005,0.042,0.598,5,0,0.063
11,12,Jayson Tatum,BOS,25,72,51,21,0.5,0.393,0.128,0.275,46.7,0.043,0.121,35.4,0.094,0.109,85.7,0.014,0.101,0.115,0.06,0.037,0.013,0.009,0.028,0.651,31,1,0.083
12,13,Damian Lillard,POR,32,58,27,31,0.5,0.426,0.127,0.274,46.3,0.056,0.15,37.1,0.116,0.127,91.4,0.01,0.053,0.063,0.097,0.044,0.011,0.004,0.025,0.65,16,2,0.024
13,14,Jaylen Brown,BOS,26,66,45,21,0.5,0.355,0.135,0.274,49.3,0.033,0.097,33.9,0.053,0.069,76.9,0.016,0.075,0.091,0.046,0.039,0.015,0.005,0.035,0.555,12,0,0.051
14,15,Brandon Ingram,NOP,25,41,21,20,0.5,0.356,0.13,0.269,48.5,0.022,0.054,40.1,0.074,0.084,88.2,0.006,0.07,0.076,0.081,0.045,0.009,0.006,0.037,0.567,4,2,0.031
15,16,Shai Gilgeous-Alexander,OKC,24,66,32,34,0.5,0.412,0.136,0.266,51,0.011,0.031,34.6,0.129,0.142,90.8,0.011,0.052,0.063,0.071,0.037,0.022,0.013,0.036,0.66,3,0,0.03
16,17,Stephen Curry,GSW,35,52,27,25,0.5,0.389,0.132,0.265,49.8,0.065,0.15,43.2,0.06,0.066,91.2,0.009,0.072,0.081,0.083,0.043,0.012,0.004,0.028,0.618,12,1,0.05
17,18,Cade Cunningham,DET,21,12,3,9,0.5,0.281,0.109,0.264,41.5,0.02,0.072,27.9,0.042,0.051,83.7,0.014,0.073,0.087,0.085,0.046,0.012,0.008,0.04,0.527,3,0,-0.071
18,19,LaMelo Ball,CHA,21,36,13,23,0.5,0.305,0.108,0.262,41.1,0.052,0.139,37.6,0.037,0.044,84.3,0.015,0.069,0.084,0.111,0.047,0.017,0.004,0.043,0.587,17,3,-0.055
19,20,Kyrie Irving,DAL,31,59,31,28,0.5,0.353,0.129,0.262,49.3,0.04,0.108,37.4,0.055,0.06,90.4,0.013,0.053,0.067,0.072,0.028,0.014,0.01,0.036,0.585,5,0,0.047
20,21,Bones Hyland,LAC,22,53,33,20,0.5,0.296,0.102,0.257,39.9,0.053,0.141,37.6,0.038,0.046,84.4,0.009,0.049,0.058,0.077,0.037,0.018,0.007,0.043,0.518,1,0,-0.07
21,22,Bradley Beal,WAS,29,50,24,26,0.5,0.339,0.13,0.257,50.6,0.023,0.064,36.5,0.056,0.067,84.2,0.012,0.045,0.057,0.079,0.042,0.013,0.01,0.031,0.553,2,0,0.012
22,23,Julius Randle,NYK,28,77,44,33,0.5,0.347,0.118,0.256,45.9,0.039,0.114,34.3,0.072,0.095,75.7,0.025,0.112,0.137,0.057,0.039,0.009,0.004,0.042,0.595,40,0,0.03
23,24,Trae Young,ATL,24,71,37,34,0.5,0.348,0.11,0.255,42.9,0.028,0.084,33.8,0.101,0.113,88.6,0.01,0.029,0.04,0.132,0.054,0.014,0.002,0.019,0.587,38,0,0.014
24,25,Kenneth Lofton Jr.,MEM,20,20,13,7,0.5,0.3,0.123,0.255,48.2,0.023,0.055,41.7,0.032,0.059,53.8,0.045,0.091,0.136,0.077,0.036,0.014,0.009,0.091,0.611,0,0,-0.159
25,26,Anthony Edwards,MIN,21,76,37,39,0.5,0.32,0.117,0.254,46,0.035,0.095,36.8,0.052,0.068,75.9,0.007,0.068,0.075,0.058,0.043,0.02,0.009,0.031,0.543,8,0,0.013
