,player,team,age,pts_per_poss,fgm,fga,fgpct,three_pm,three_pa,three_ppct,ftm,fta,ftpct,oreb,dreb,reb,ast,tov,stl,blk,pf,fp,ddtwo_,tdthree_,plus_minus,fgm_less_than_5ft,fga_less_than_5ft,fgpct_less_than_5ft,fgm_5minus9_ft,fga_5minus9_ft,fgpct_5minus9_ft,fgm_10minus14_ft,fga_10minus14_ft,fgpct_10minus14_ft,fgm_15minus19_ft,fga_15minus19_ft,fgpct_15minus19_ft,fgm_two_0minustwo_4_ft,fga_two_0minustwo_4_ft,fgpct_two_0minustwo_4_ft,fgm_two_5minustwo_9_ft,fga_two_5minustwo_9_ft,fgpct_two_5minustwo_9_ft,pts,touches,front_ct_touches,time_of_poss,avg_sec_per_touch,avg_drib_per_touch,pts_per_touch,elbow_touches,post_ups,paint_touches,pts_per_elbow_touch,pts_per_post_touch,pts_per_paint_touch
0,lester quinones,GSW,22,0.0,0.0,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.4,0,0,-0.333,0.0,1.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,0.0,1.0,0.0,0.0,5.0,2.0,0.5,6.43,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,duane washington jr,NYK,23,0.292,0.112,0.306,36.7,0.048,0.133,36.0,0.019,0.029,66.7,0.002,0.041,0.043,0.075,0.041,0.007,0.005,0.027,0.451,0,0,-0.007,0.7,1.7,39.2,0.4,1.0,36.7,0.4,1.0,37.9,0.3,0.9,32.0,0.6,1.6,40.0,0.8,2.3,35.2,7.9,30.0,12.2,2.5,5.0,4.68,0.263,0.1,0.0,0.1,0.0,0.0,0.0
2,luka doncic,DAL,24,0.44,0.148,0.298,49.8,0.038,0.11,34.7,0.105,0.142,74.2,0.011,0.105,0.116,0.109,0.049,0.019,0.007,0.034,0.77,35,10,0.023,4.0,5.6,71.1,2.2,4.0,55.1,1.5,2.9,53.0,0.5,1.5,31.9,0.5,1.2,39.0,2.3,6.6,35.7,32.9,90.6,34.4,9.3,6.15,5.33,0.364,0.7,4.5,1.1,0.783,0.706,1.075
3,ja morant,MEM,23,0.387,0.137,0.295,46.3,0.022,0.073,30.7,0.091,0.121,75.2,0.015,0.07,0.086,0.118,0.05,0.016,0.004,0.025,0.677,20,7,0.067,4.9,8.2,59.9,1.3,3.5,37.5,1.3,2.7,46.3,0.2,0.6,35.3,0.5,1.2,44.4,1.0,3.5,28.4,26.6,77.4,26.0,7.6,5.91,5.15,0.344,0.5,0.1,1.5,0.571,0.0,0.976
4,giannis antetokounmpo,MIL,28,0.447,0.161,0.293,55.0,0.011,0.04,27.6,0.113,0.175,64.8,0.032,0.137,0.169,0.081,0.055,0.012,0.011,0.045,0.784,44,5,0.071,8.8,12.4,71.3,0.4,1.7,23.8,0.4,1.3,31.6,0.8,2.1,37.5,0.1,0.4,22.7,0.7,2.5,28.8,31.1,77.8,36.4,5.2,4.05,2.96,0.4,4.3,4.3,5.3,0.604,0.445,1.121
5,lebron james,LAL,38,0.376,0.144,0.289,49.9,0.026,0.087,30.3,0.061,0.08,76.6,0.016,0.094,0.111,0.09,0.041,0.012,0.007,0.022,0.661,18,2,0.051,6.6,9.3,70.9,0.8,1.9,41.4,0.5,1.5,32.9,0.9,2.1,43.8,0.6,1.7,34.1,1.6,5.3,30.2,29.0,78.6,37.7,5.6,4.3,3.21,0.369,3.0,4.0,3.8,0.772,0.553,1.122
6,joel embiid,PHI,29,0.468,0.155,0.284,54.4,0.014,0.043,33.7,0.144,0.168,85.7,0.025,0.12,0.144,0.059,0.049,0.015,0.024,0.044,0.797,38,1,0.096,5.1,7.0,72.4,1.1,2.5,43.9,1.9,3.7,50.0,1.6,3.3,49.3,0.4,1.0,43.5,0.8,2.4,34.6,33.0,71.1,51.5,3.1,2.6,1.17,0.465,8.9,6.6,5.0,0.742,0.702,1.109
7,donovan mitchell,CLE,26,0.386,0.136,0.284,48.0,0.05,0.13,38.4,0.063,0.073,87.0,0.013,0.045,0.058,0.062,0.036,0.02,0.005,0.034,0.59,5,0,0.066,3.5,5.3,66.3,1.1,2.2,51.7,0.7,1.4,47.8,0.7,1.7,43.6,0.8,2.3,35.3,2.9,7.4,39.7,27.9,67.7,31.7,5.6,4.97,4.47,0.411,0.8,0.0,1.0,0.891,1.0,0.812
8,devin booker,PHX,26,0.391,0.141,0.283,49.8,0.03,0.082,35.9,0.08,0.094,85.1,0.013,0.051,0.063,0.077,0.039,0.013,0.005,0.042,0.598,5,0,0.063,2.9,4.4,65.3,1.4,2.8,48.9,2.0,3.6,54.3,1.5,3.0,50.3,1.0,2.3,45.7,1.3,4.1,32.2,28.1,63.7,36.9,5.1,4.82,4.18,0.441,1.1,1.2,1.5,0.833,0.742,0.795
9,jayson tatum,BOS,25,0.393,0.128,0.275,46.7,0.043,0.121,35.4,0.094,0.109,85.7,0.014,0.101,0.115,0.06,0.037,0.013,0.009,0.028,0.651,31,1,0.083,4.8,7.3,65.8,0.8,2.1,40.9,0.4,1.0,39.7,0.4,1.1,39.0,0.8,2.2,37.6,2.6,7.5,34.8,30.3,75.4,39.3,4.9,3.86,2.84,0.403,2.6,1.3,3.0,0.88,0.969,0.995
